Date,TVL_Compoundv2ethereum,TVL_Compoundv3ethereum,TVL_Compoundv3arbitrum,TVL_Aavev2ethereum,TVL_Aavev3ethereum,TVL_Aavev3arbitrum,Borrowed_Compoundv2ethereum,Borrowed_Compoundv3ethereum,Borrowed_Compoundv3arbitrum,Borrowed_Aavev2ethereum,Borrowed_Aavev3ethereum,Borrowed_Aavev3arbitrum,Deposit_Compoundv2ethereum,Deposit_Compoundv3ethereum,Deposit_Compoundv3arbitrum,Deposit_Aavev2ethereum,Deposit_Aavev3ethereum,Deposit_Aavev3arbitrum,Liquidate_Compoundv2ethereum,Liquidate_Compoundv3ethereum,Liquidate_Compoundv3arbitrum,Liquidate_Aavev2ethereum,Liquidate_Aavev3ethereum,Liquidate_Aavev3arbitrum,Totalrevenue_Compoundv2ethereum,Totalrevenue_Compoundv3ethereum,Totalrevenue_Compoundv3arbitrum,Totalrevenue_Aavev2ethereum,Totalrevenue_Aavev3ethereum,Totalrevenue_Aavev3arbitrum,Repay_Compoundv2ethereum,Repay_Compoundv3ethereum,Repay_Compoundv3arbitrum,Repay_Aavev2ethereum,Repay_Aavev3ethereum,Repay_Aavev3arbitrum,Transfer_Compoundv2ethereum,Transfer_Compoundv3ethereum,Transfer_Compoundv3arbitrum,Transfer_Aavev2ethereum,Transfer_Aavev3ethereum,Transfer_Aavev3arbitrum,Withdraw_Compoundv2ethereum,Withdraw_Compoundv3ethereum,Withdraw_Compoundv3arbitrum,Withdraw_Aavev2ethereum,Withdraw_Aavev3ethereum,Withdraw_Aavev3arbitrum,Flashloan_Compoundv2ethereum,Flashloan_Compoundv3ethereum,Flashloan_Compoundv3arbitrum,Flashloan_Aavev2Ethereum,Flashloan_Aavev3ethereum,Flashloan_Aavev3arbitrum,MC_Compoundv2ethereum,MC_Compoundv3ethereum,MC_Compoundv3arbitrum,MC_Aavev2ethereum,MC_Aavev3ethereum,MC_Aavev3arbitrum,TV_Compoundv2ethereum,TV_Compoundv3ethereum,TV_Compoundv3arbitrum,TV_Aavev2ethereum,TV_Aavev3ethereum,TV_Aavev3arbitrum,FGI_Compoundv2ethereum,FGI_Compoundv3ethereum,FGI_Compoundv3arbitrum,FGI_Aavev2ethereum,FGI_Aavev3ethereum,FGI_Aavev3arbitrum,VIX_Compoundv2ethereum,VIX_Compoundv3ethereum,VIX_Compoundv3arbitrum,VIX_Aavev2ethereum,VIX_Aavev3ethereum,VIX_Aavev3arbitrum,ETH_Compoundv2ethereum,ETH_Compoundv3ethereum,ETH_Compoundv3arbitrum,ETH_Aavev2ethereum,ETH_Aavev3ethereum,ETH_Aavev3arbitrum,BTC_Compoundv2ethereum,BTC_Compoundv3ethereum,BTC_Compoundv3arbitrum,BTC_Aavev2ethereum,BTC_Aavev3ethereum,BTC_Aavev3arbitrum,USDT_Compoundv2ethereum,USDT_Compoundv3ethereum,USDT_Compoundv3arbitrum,USDT_Aavev2ethereum,USDT_Aavev3ethereum,USDT_Aavev3arbitrum,USDC_Compoundv2ethereum,USDC_Compoundv3ethereum,USDC_Compoundv3arbitrum,USDC_Aavev2ethereum,USDC_Aavev3ethereum,USDC_Aavev3arbitrum,SPX_Compoundv2ethereum,SPX_Compoundv3ethereum,SPX_Compoundv3arbitrum,SPX_Aavev2ethereum,SPX_Aavev3ethereum,SPX_Aavev3arbitrum,FEE_Compoundv2ethereum,FEE_Compoundv3ethereum,FEE_Compoundv3arbitrum,FEE_Aavev2ethereum,FEE_Aavev3ethereum,FEE_Aavev3arbitrum,Wethborrowapr_Compoundv2ethereum,Wethborrowapr_Compoundv3ethereum,Wethborrowapr_Compoundv3arbitrum,Wethborrowapr_Aavev2ethereum,Wethborrowapr_Aavev3ethereum,Wethborrowapr_Aavev3arbitrum,Wethsupplyapr_Compoundv2ethereum,Wethsupplyapr_Compoundv3ethereum,Wethsupplyapr_Compoundv3arbitrum,Wethsupplyapr_Aavev2ethereum,Wethsupplyapr_Aavev3ethereum,Wethsupplyapr_Aavev3arbitrum,Wbtcborrowapr_Compoundv2ethereum,Wbtcborrowapr_Compoundv3ethereum,Wbtcborrowapr_Compoundv3arbitrum,Wbtcborrowapr_Aavev2ethereum,Wbtcborrowapr_Aavev3ethereum,Wbtcborrowapr_Aavev3arbitrum,Wbtcsupplyapr_Compoundv2ethereum,Wbtcsupplyapr_Compoundv3ethereum,Wbtcsupplyapr_Compoundv3arbitrum,Wbtcsupplyapr_Aavev2ethereum,Wbtcsupplyapr_Aavev3ethereum,Wbtcsupplyapr_Aavev3arbitrum,Usdtborrowapr_Compoundv2ethereum,Usdtborrowapr_Compoundv3ethereum,Usdtborrowapr_Compoundv3arbitrum,Usdtborrowapr_Aavev2ethereum,Usdtborrowapr_Aavev3ethereum,Usdtborrowapr_Aavev3arbitrum,Usdtsupplyapr_Compoundv2ethereum,Usdtsupplyapr_Compoundv3ethereum,Usdtsupplyapr_Compoundv3arbitrum,Usdtsupplyapr_Aavev2ethereum,Usdtsupplyapr_Aavev3ethereum,Usdtsupplyapr_Aavev3arbitrum,Usdcborrowapr_Compoundv2ethereum,Usdcborrowapr_Compoundv3ethereum,Usdcborrowapr_Compoundv3arbitrum,Usdcborrowapr_Aavev2ethereum,Usdcborrowapr_Aavev3ethereum,Usdcborrowapr_Aavev3arbitrum,Usdcsupplyapr_Compoundv2ethereum,Usdcsupplyapr_Compoundv3ethereum,Usdcsupplyapr_Compoundv3arbitrum,Usdcsupplyapr_Aavev2ethereum,Usdcsupplyapr_Aavev3ethereum,Usdcsupplyapr_Aavev3arbitrum,LTV_Compoundv2ethereum,LTV_Compoundv3ethereum,LTV_Compoundv3arbitrum,LTV_aavev2ethereum,LTV_aavev3ethereum,LTV_aavev3arbitrum,liquidationthreshold_Compoundv2ethereum,liquidationthreshold_Compoundv3ethereum,liquidationthreshold_Compoundv3arbitrum,liquidationthreshold_Aavev2ethereum,liquidationthreshold_Aavev3ethereum,liquidationthreshold_Aavev3arbitrum,liquidationpenalty_Compoundv2ethereum,liquidationpenalty_Compoundv3ethereum,liquidationpenalty_Compoundv3arbitrum,liquidationpenalty_Aavev2ethereum,liquidationpenalty_Aavev3ethereum,liquidationpenalty_Aavev3arbitrum,Flashloans_Compoundv2ethereum,Flashloans_Compoundv3ethereum,Flashloans_Compoundv3arbitrum,Flashloans_aavev2ethereum,Flashloans_aavev3ethereum,Flashloans_aavev3arbitrum,Liquidity_Compoundv2ethereum,Liquidity_Compoundv3ethereum,Liquidity_Compoundv3arbitrum,Liquidity_Aavev2ethereum,Liquidity_Aavev3ethereum,Liquidity_Aavev3arbitrum
01/01/2021,4026616803,,,231063091.8,,,70994290.36,,,20129611.26,,,223314831.2,,,45332888.73,,,10310.3,,,2498.71,,,609485.8453,,,70269.47598,,,73176663.72,,,734268.6429,,,0,,,4199565.326,,,187943306.7,,,19318208.77,,,,,242078.5468,,,,3.25E+11,3.25E+11,3.25E+11,3.25E+11,3.25E+11,3.25E+11,50632627479,50632627479,50632627479,50632627479,50632627479,50632627479,94,94,94,94,94,94,22.75,22.75,22.75,22.75,22.75,22.75,-0.01909445,-0.01909445,-0.01909445,-0.01909445,-0.01909445,-0.01909445,0.006399289,0.006399289,0.006399289,0.006399289,0.006399289,0.006399289,-0.001511202,-0.001511202,-0.001511202,-0.001511202,-0.001511202,-0.001511202,0.000836629,0.000836629,0.000836629,0.000836629,0.000836629,0.000836629,0.010463014,0.010463014,0.010463014,0.010463014,0.010463014,0.010463014,66560418720,66560418720,,66560418720,66560418720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,,,,,,
02/01/2021,4069655068,,,262521039.2,,,930612317.2,,,23150892.58,,,1512710959,,,52822117.68,,,19210,,,0,,,651274.9651,,,71380.64607,,,769394579.6,,,2564839.183,,,0,,,4834961.848,,,1364445636,,,30529671.82,,,,,103568.1119,,,,3.44E+11,3.44E+11,3.44E+11,3.44E+11,3.44E+11,3.44E+11,54215913637,54215913637,54215913637,54215913637,54215913637,54215913637,94,94,94,94,94,94,22.75,22.75,22.75,22.75,22.75,22.75,-0.011533085,-0.011533085,-0.011533085,-0.011533085,-0.011533085,-0.011533085,0.011296427,0.011296427,0.011296427,0.011296427,0.011296427,0.011296427,0.001938561,0.001938561,0.001938561,0.001938561,0.001938561,0.001938561,-0.002006853,-0.002006853,-0.002006853,-0.002006853,-0.002006853,-0.002006853,-0.024007294,-0.024007294,-0.024007294,-0.024007294,-0.024007294,-0.024007294,1.03E+11,1.03E+11,,1.03E+11,1.03E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,,,,,,
03/01/2021,3911664357,,,294537181.2,,,306678029.1,,,15697042.2,,,765060862,,,40727660.16,,,125527.6,,,12648.34,,,674769.8513,,,75204.15464,,,563734796.5,,,1181388.421,,,0,,,14260273.93,,,1036856171,,,39905276.69,,,,,572812.8902,,,,3.45E+11,3.45E+11,3.45E+11,3.45E+11,3.45E+11,3.45E+11,50530868186,50530868186,50530868186,50530868186,50530868186,50530868186,93,93,93,93,93,93,22.75,22.75,22.75,22.75,22.75,22.75,0.063089437,0.063089437,0.063089437,0.063089437,0.063089437,0.063089437,0.091477365,0.091477365,0.091477365,0.091477365,0.091477365,0.091477365,0.001125026,0.001125026,0.001125026,0.001125026,0.001125026,0.001125026,0.003115237,0.003115237,0.003115237,0.003115237,0.003115237,0.003115237,0.002982954,0.002982954,0.002982954,0.002982954,0.002982954,0.002982954,1.70E+11,1.70E+11,,1.70E+11,1.70E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1129664614,,,,,
04/01/2021,4157457143,,,285565713.3,,,689416796.5,,,9361524.668,,,895014222.3,,,28417232.84,,,793447.4,,,603682.96,,,481053.5698,,,20451.80104,,,754089800,,,1668194.527,,,0,,,10552374.63,,,990946288,,,36178255.95,,,,,172852.6904,,,,3.48E+11,3.48E+11,3.48E+11,3.48E+11,3.48E+11,3.48E+11,44760786240,44760786240,44760786240,44760786240,44760786240,44760786240,94,94,94,94,94,94,26.969999,26.969999,26.969999,26.969999,26.969999,26.969999,0.217863326,0.217863326,0.217863326,0.217863326,0.217863326,0.217863326,0.025914438,0.025914438,0.025914438,0.025914438,0.025914438,0.025914438,-0.002394724,-0.002394724,-0.002394724,-0.002394724,-0.002394724,-0.002394724,-0.006039891,-0.006039891,-0.006039891,-0.006039891,-0.006039891,-0.006039891,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,2.59E+11,2.59E+11,,2.59E+11,2.59E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1129664614,,,,,
05/01/2021,4366943473,,,322380136.9,,,113436187.1,,,19641928.5,,,282133860.9,,,50344170.78,,,3630,,,24672.42,,,395454.1567,,,11556.76725,,,46930938.58,,,1693617.596,,,0,,,10939856.9,,,221064226.5,,,30986832.61,,,,,80293.52379,,,,3.53E+11,3.53E+11,3.53E+11,3.53E+11,3.53E+11,3.53E+11,46735441020,46735441020,46735441020,46735441020,46735441020,46735441020,93,93,93,93,93,93,25.34,25.34,25.34,25.34,25.34,25.34,0.058887373,0.058887373,0.058887373,0.058887373,0.058887373,0.058887373,-0.046274911,-0.046274911,-0.046274911,-0.046274911,-0.046274911,-0.046274911,-0.001014842,-0.001014842,-0.001014842,-0.001014842,-0.001014842,-0.001014842,-0.015848544,-0.015848544,-0.015848544,-0.015848544,-0.015848544,-0.015848544,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,1.38E+11,1.38E+11,,1.38E+11,1.38E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1129664614,,,,,
06/01/2021,4417683852,,,382288893.1,,,90410487.43,,,28522303.01,,,239976134.7,,,67410426.85,,,40831.2,,,7487.82,,,431291.3478,,,34415.10512,,,29889147.43,,,527532.5826,,,0,,,7066108.33,,,193085509.4,,,31727443.31,,,,,767133.2341,,,,3.47E+11,3.47E+11,3.47E+11,3.47E+11,3.47E+11,3.47E+11,50415903847,50415903847,50415903847,50415903847,50415903847,50415903847,95,95,95,95,95,95,25.07,25.07,25.07,25.07,25.07,25.07,0.073027279,0.073027279,0.073027279,0.073027279,0.073027279,0.073027279,0.078293533,0.078293533,0.078293533,0.078293533,0.078293533,0.078293533,0.003037328,0.003037328,0.003037328,0.003037328,0.003037328,0.003037328,0.019257864,0.019257864,0.019257864,0.019257864,0.019257864,0.019257864,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,0.015850478,1.25E+11,1.25E+11,,1.25E+11,1.25E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1212779006,,,,,
07/01/2021,4577545751,,,399856206.6,,,79193314.65,,,18239027.82,,,253587324.7,,,48078860.81,,,372507.8,,,294637.45,,,480801.6233,,,26497.68575,,,42566864.73,,,1317738.068,,,0,,,18019176.62,,,293265013,,,36865798.72,,,,,726257.056,,,,3.52E+11,3.52E+11,3.52E+11,3.52E+11,3.52E+11,3.52E+11,47867094351,47867094351,47867094351,47867094351,47867094351,47867094351,91,91,91,91,91,91,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,0.091083571,0.091083571,0.091083571,0.091083571,0.091083571,0.091083571,0.080344112,0.080344112,0.080344112,0.080344112,0.080344112,0.080344112,0.005057609,0.005057609,0.005057609,0.005057609,0.005057609,0.005057609,0.000290375,0.000290375,0.000290375,0.000290375,0.000290375,0.000290375,0.015982151,0.015982151,0.015982151,0.015982151,0.015982151,0.015982151,1.33E+11,1.33E+11,,1.33E+11,1.33E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1194558409,,,,,
08/01/2021,4707748219,,,419022405.8,,,161787915.4,,,13636871.89,,,537510025.6,,,42443425.9,,,1154339.4,,,61718.14,,,477835.3948,,,28809.75477,,,76240469.82,,,3068422.278,,,0,,,7564346.247,,,431824975.1,,,24315509.48,,,,,110327.0264,,,,3.50E+11,3.50E+11,3.50E+11,3.50E+11,3.50E+11,3.50E+11,45939927779,45939927779,45939927779,45939927779,45939927779,45939927779,93,93,93,93,93,93,21.559999,21.559999,21.559999,21.559999,21.559999,21.559999,0.017142195,0.017142195,0.017142195,0.017142195,0.017142195,0.017142195,0.068372421,0.068372421,0.068372421,0.068372421,0.068372421,0.068372421,-0.006678675,-0.006678675,-0.006678675,-0.006678675,-0.006678675,-0.006678675,0.003565545,0.003565545,0.003565545,0.003565545,0.003565545,0.003565545,-0.004824245,-0.004824245,-0.004824245,-0.004824245,-0.004824245,-0.004824245,1.40E+11,1.40E+11,,1.40E+11,1.40E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1229022423,,,,,
09/01/2021,4605630782,,,449396595,,,90815754.91,,,12899598.12,,,706335080.2,,,35285813.46,,,4286,,,0,,,396524.4557,,,24385.0624,,,80905827.63,,,2674759.329,,,0,,,13189962.64,,,662423481.1,,,26637897.71,,,,,137226.1069,,,,3.44E+11,3.44E+11,3.44E+11,3.44E+11,3.44E+11,3.44E+11,51885537571,51885537571,51885537571,51885537571,51885537571,51885537571,93,93,93,93,93,93,21.559999,21.559999,21.559999,21.559999,21.559999,21.559999,-0.004680935,-0.004680935,-0.004680935,-0.004680935,-0.004680935,-0.004680935,0.031581263,0.031581263,0.031581263,0.031581263,0.031581263,0.031581263,0.001449667,0.001449667,0.001449667,0.001449667,0.001449667,0.001449667,-0.002429557,-0.002429557,-0.002429557,-0.002429557,-0.002429557,-0.002429557,0.008219834,0.008219834,0.008219834,0.008219834,0.008219834,0.008219834,92563339823,92563339823,,92563339823,92563339823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1219662625,,,,,
10/01/2021,4133957152,,,454440593.8,,,82801734.16,,,19038837.56,,,266489352.2,,,36337026.36,,,3671048.6,,,1309117.31,,,440976.7674,,,23499.45081,,,85187866.23,,,3701363.96,,,0,,,5415822.216,,,273765110.8,,,14801119.56,,,,,472762.6105,,,,3.41E+11,3.41E+11,3.41E+11,3.41E+11,3.41E+11,3.41E+11,53098581135,53098581135,53098581135,53098581135,53098581135,53098581135,94,94,94,94,94,94,21.559999,21.559999,21.559999,21.559999,21.559999,21.559999,0.047281849,0.047281849,0.047281849,0.047281849,0.047281849,0.047281849,-0.012807891,-0.012807891,-0.012807891,-0.012807891,-0.012807891,-0.012807891,0.002642538,0.002642538,0.002642538,0.002642538,0.002642538,0.002642538,-0.00274309,-0.00274309,-0.00274309,-0.00274309,-0.00274309,-0.00274309,0.005278935,0.005278935,0.005278935,0.005278935,0.005278935,0.005278935,87310659101,87310659101,,87310659101,87310659101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1205184842,,,,,
11/01/2021,4125153994,,,406256934,,,85925095.85,,,9986436.555,,,411858830.9,,,41144698.61,,,9099478.5,,,3918417.1,,,456935.6539,,,24136.8604,,,246376097,,,21913686.19,,,0,,,15870865.24,,,590543636.7,,,46263725.97,,,,,1719396.556,,,,3.41E+11,3.41E+11,3.41E+11,3.41E+11,3.41E+11,3.41E+11,39184717154,39184717154,39184717154,39184717154,39184717154,39184717154,90,90,90,90,90,90,24.08,24.08,24.08,24.08,24.08,24.08,-0.011956475,-0.011956475,-0.011956475,-0.011956475,-0.011956475,-0.011956475,-0.04826267,-0.04826267,-0.04826267,-0.04826267,-0.04826267,-0.04826267,-0.003171324,-0.003171324,-0.003171324,-0.003171324,-0.003171324,-0.003171324,0.003122697,0.003122697,0.003122697,0.003122697,0.003122697,0.003122697,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,2.38E+11,2.38E+11,,2.38E+11,2.38E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1086622382,,,,,
12/01/2021,4541747729,,,404252435.3,,,92729238.29,,,26828708.06,,,956002661.5,,,45229661.64,,,86044.8,,,5208.14,,,485632.7545,,,18461.09782,,,55550335.17,,,3773298.412,,,0,,,7804819.446,,,881489232.6,,,37423483.52,,,,,321215.9778,,,,3.47E+11,3.47E+11,3.47E+11,3.47E+11,3.47E+11,3.47E+11,40339059998,40339059998,40339059998,40339059998,40339059998,40339059998,84,84,84,84,84,84,23.33,23.33,23.33,23.33,23.33,23.33,-0.148380858,-0.148380858,-0.148380858,-0.148380858,-0.148380858,-0.148380858,-0.073695283,-0.073695283,-0.073695283,-0.073695283,-0.073695283,-0.073695283,0.006439148,0.006439148,0.006439148,0.006439148,0.006439148,0.006439148,0.001955332,0.001955332,0.001955332,0.001955332,0.001955332,0.001955332,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,87031984990,87031984990,,87031984990,87031984990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1020509501,,,,,
13/01/2021,4920166907,,,467195629.4,,,286966921.5,,,25813101.93,,,763601623.2,,,56426258.19,,,1550.1,,,166033.29,,,497919.1053,,,21527.09701,,,81768567.12,,,2365712.78,,,0,,,6523467.107,,,585534242.4,,,29623447.45,,,,,542466.5946,,,,3.48E+11,3.48E+11,3.48E+11,3.48E+11,3.48E+11,3.48E+11,42968336434,42968336434,42968336434,42968336434,42968336434,42968336434,78,78,78,78,78,78,22.209999,22.209999,22.209999,22.209999,22.209999,22.209999,-0.044441726,-0.044441726,-0.044441726,-0.044441726,-0.044441726,-0.044441726,-0.049762156,-0.049762156,-0.049762156,-0.049762156,-0.049762156,-0.049762156,-0.006159797,-0.006159797,-0.006159797,-0.006159797,-0.006159797,-0.006159797,-0.000670668,-0.000670668,-0.000670668,-0.000670668,-0.000670668,-0.000670668,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,-0.009617802,67945681638,67945681638,,67945681638,67945681638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1142175627,,,,,
14/01/2021,5080461750,,,500717448.8,,,275287562.8,,,19374377.88,,,1068920326,,,37591538.15,,,4771.3,,,0,,,656043.7786,,,36388.08495,,,177278313.9,,,2029180.124,,,0,,,7674852.62,,,808281519.6,,,24070901.26,,,,,521561.575,,,,3.40E+11,3.40E+11,3.40E+11,3.40E+11,3.40E+11,3.40E+11,50037623463,50037623463,50037623463,50037623463,50037623463,50037623463,83,83,83,83,83,83,23.25,23.25,23.25,23.25,23.25,23.25,0.079593646,0.079593646,0.079593646,0.079593646,0.079593646,0.079593646,0.09862189,0.09862189,0.09862189,0.09862189,0.09862189,0.09862189,0.00128944,0.00128944,0.00128944,0.00128944,0.00128944,0.00128944,-0.00072858,-0.00072858,-0.00072858,-0.00072858,-0.00072858,-0.00072858,0.017815885,0.017815885,0.017815885,0.017815885,0.017815885,0.017815885,85478387564,85478387564,,85478387564,85478387564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1293978008,,,,,
15/01/2021,5227701882,,,524631853.4,,,682951271.3,,,13436534.09,,,1478937326,,,33900723.15,,,101145.4,,,279464.23,,,701152.7203,,,31949.8693,,,537357317.1,,,2199530.398,,,0,,,5301253.097,,,1202566020,,,22650571.94,,,,,362372.0036,,,,3.42E+11,3.42E+11,3.42E+11,3.42E+11,3.42E+11,3.42E+11,44355846654,44355846654,44355846654,44355846654,44355846654,44355846654,88,88,88,88,88,88,24.34,24.34,24.34,24.34,24.34,24.34,0.072319041,0.072319041,0.072319041,0.072319041,0.072319041,0.072319041,0.046344739,0.046344739,0.046344739,0.046344739,0.046344739,0.046344739,-0.00573792,-0.00573792,-0.00573792,-0.00573792,-0.00573792,-0.00573792,0.001387278,0.001387278,0.001387278,0.001387278,0.001387278,0.001387278,-0.014086779,-0.014086779,-0.014086779,-0.014086779,-0.014086779,-0.014086779,94274611075,94274611075,,94274611075,94274611075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1359142883,,,,,
16/01/2021,5301604893,,,557639297.6,,,153525104.6,,,29450673.95,,,913693070.1,,,57364085.75,,,3055771.9,,,9137.18,,,801726.8816,,,31621.87787,,,74354014.84,,,2031598.651,,,0,,,4990270.618,,,849426811.9,,,33968040.93,,,,,521792.8544,,,,3.49E+11,3.49E+11,3.49E+11,3.49E+11,3.49E+11,3.49E+11,49209148745,49209148745,49209148745,49209148745,49209148745,49209148745,84,84,84,84,84,84,24.34,24.34,24.34,24.34,24.34,24.34,-0.037726549,-0.037726549,-0.037726549,-0.037726549,-0.037726549,-0.037726549,-0.064353166,-0.064353166,-0.064353166,-0.064353166,-0.064353166,-0.064353166,0.002647727,0.002647727,0.002647727,0.002647727,0.002647727,0.002647727,-0.002017687,-0.002017687,-0.002017687,-0.002017687,-0.002017687,-0.002017687,0.017256047,0.017256047,0.017256047,0.017256047,0.017256047,0.017256047,81160820583,81160820583,,81160820583,81160820583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1396971056,,,,,
17/01/2021,5269857923,,,600370242.5,,,65913160.48,,,18360785.22,,,496651721.3,,,45325255.09,,,2938.8,,,689012.35,,,752591.1948,,,41999.74155,,,82727564.73,,,1350921.15,,,0,,,7223985.519,,,476829212.9,,,31237097.28,,,,,845320.3927,,,,3.57E+11,3.57E+11,3.57E+11,3.57E+11,3.57E+11,3.57E+11,50260078568,50260078568,50260078568,50260078568,50260078568,50260078568,79,79,79,79,79,79,24.34,24.34,24.34,24.34,24.34,24.34,0.0521806,0.0521806,0.0521806,0.0521806,0.0521806,0.0521806,-0.014589301,-0.014589301,-0.014589301,-0.014589301,-0.014589301,-0.014589301,0.001616944,0.001616944,0.001616944,0.001616944,0.001616944,0.001616944,-0.001253461,-0.001253461,-0.001253461,-0.001253461,-0.001253461,-0.001253461,0.007975249,0.007975249,0.007975249,0.007975249,0.007975249,0.007975249,63895643119,63895643119,,63895643119,63895643119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1409277332,,,,,
18/01/2021,5540368690,,,619484310.4,,,94073550.53,,,22063379.21,,,493974368,,,57510937.03,,,3634283.8,,,14613.96,,,695071.3201,,,36173.33897,,,100845106.4,,,3588546.103,,,0,,,5777444.81,,,523968760.2,,,36985653.22,,,,,234954.4087,,,,3.63E+11,3.63E+11,3.63E+11,3.63E+11,3.63E+11,3.63E+11,48595852584,48595852584,48595852584,48595852584,48595852584,48595852584,79,79,79,79,79,79,24.34,24.34,24.34,24.34,24.34,24.34,-0.004263113,-0.004263113,-0.004263113,-0.004263113,-0.004263113,-0.004263113,-0.0125024,-0.0125024,-0.0125024,-0.0125024,-0.0125024,-0.0125024,-0.003958072,-0.003958072,-0.003958072,-0.003958072,-0.003958072,-0.003958072,-0.0027317,-0.0027317,-0.0027317,-0.0027317,-0.0027317,-0.0027317,0.008752273,0.008752273,0.008752273,0.008752273,0.008752273,0.008752273,75294263372,75294263372,,75294263372,75294263372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1405402436,,,,,
19/01/2021,5505173518,,,661612674.5,,,483729992.7,,,41395618.25,,,1575120256,,,76045075.97,,,10820.9,,,21914.87,,,738668.6047,,,51073.7204,,,459306919.6,,,1074667.906,,,0,,,10075620.17,,,1482151581,,,35274497.6,,,,,4092745.828,,,,3.66E+11,3.66E+11,3.66E+11,3.66E+11,3.66E+11,3.66E+11,41914090765,41914090765,41914090765,41914090765,41914090765,41914090765,80,80,80,80,80,80,23.24,23.24,23.24,23.24,23.24,23.24,0.021403778,0.021403778,0.021403778,0.021403778,0.021403778,0.021403778,0.02185733,0.02185733,0.02185733,0.02185733,0.02185733,0.02185733,0.001969161,0.001969161,0.001969161,0.001969161,0.001969161,0.001969161,0.001857189,0.001857189,0.001857189,0.001857189,0.001857189,0.001857189,0.008752273,0.008752273,0.008752273,0.008752273,0.008752273,0.008752273,1.01E+11,1.01E+11,,1.01E+11,1.01E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.825,,,,,,0.05,,,,,,0,0,0,,,,1589330098,,,,,
